pchembl_value,canonical_smiles
5.1,Cc1ccccc1-c1ccc2ncnc(N(C)C)c2c1
5.2,COc1cc(CNC(=O)CCCC/C=C\C(C)C)ccc1O
6.1,CC(C)(Oc1ccc(Cl)cc1)C(=O)O
5.4,Cc1ccc(CNC(=O)[C@H](C)[C@H]2C[C@]2(C)[C@H](NC(=O)OCc2ccccc2)c2ccccc2)c(F)c1F
4.9,O=c1c(CCc2ccccc2)nc2cnc(N3CCNCC3)nc2n1Cc1ccc(F)cc1
4.9,C[C@@H](C(=O)NCc1ccc(C(F)(F)F)nc1)[C@H]1C[C@]1(C)[C@H](NC(=O)OCc1ccccc1)c1ccccc1
4.8,COc1ccc(Oc2ncc3nc(C)c(=O)n(Cc4ccc(F)cc4)c3n2)cc1
6.3,O=C1/C(=N/CCc2cc(Br)c(O)c(Br)c2)C=C(O)c2cccnc21
6.5,CC1CCC2C(=O)OC(Cc3ccccc3)CN2C1c1ccc(Br)cc1
4.4,COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(Cc4ccccn4)c3C[C@H]2CN1C(=O)c1ccccc1
5.1,COc1ccc2c(c1OC)C(=O)O[C@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3
5.0,COc1cc(CNC(=O)CCCCCCC(C)C)ccc1O
5.2,COc1cccc(-c2oc3ccccc3c(=O)c2O)c1
5.8,COC(=O)NC(c1ccc(Cl)cc1)C(C(C)=O)C(=O)OC
4.9,CC(=O)N1CCC2(CC1)CCN(c1ccc(-c3ccccc3)cc1)CC2
4.5,COc1ccc(NC(=O)N2CCCC3(CCNCC3)C2)cc1
4.5,COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(CCN4CCOCC4)c3C[C@H]2CN1C(=O)c1ccccc1
5.5,CN1CCc2[nH]nc(-c3n[nH]c4c3CN(C)CC4)c2C1
4.8,CN(C)c1ccc(-c2nc(N3CCNCC3)c3ccccc3n2)cc1
4.4,CCNc1ncc2nc(CCc3ccccc3)c(=O)n(-c3ccc(OC)cc3)c2n1
6.0,COc1ccccc1CNc1cc(-c2ccccc2C)ncn1
5.8,N=c1sc2ccccc2n1CC[S-].c1ccc2c(c1)sc1[n+]2CCS1
5.4,COc1cccc(-c2nc(NCc3ccccc3)c3ccccc3n2)c1
5.1,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
5.1,CC(C)(C)c1cc(C#N)cc(Br)c1OP(=O)(Oc1c(Br)cc(C#N)cc1C(C)(C)C)c1ccccc1
