pchembl_value,canonical_smiles
5.7,CCNc1ncc2nc(-c3cc(F)cc(F)c3)c(=O)n(C)c2n1
5.7,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1
4.6,CCC(CC)C(=O)c1c[nH]c(C(=O)NCCCN2CCOCC2)c1
5.3,O=c1c2ccccc2nc(SCc2ccccc2Cl)n1Cc1ccccc1
4.85,Cc1ccc(Nc2nc(-c3sc(NC(=O)c4cccc(Cl)c4)nc3C)cs2)cc1
4.6,COc1ccc(OC)c(NC(=O)CSCc2cnn(-c3ccccc3)c2-n2cccc2)c1
5.5,CC1Cc2ccccc2N1C(=O)c1cc2c(=O)n3ccccc3nc2n1C
5.2,c1ccc(-n2ncc3c2ncn2cnnc32)cc1
4.6,CCO.Cn1c2c(c(=O)n(C)c1=O)C1(C(=O)Nc3ccccc31)C(C#N)=C(N)O2
5.4,COc1ccc(Oc2ncc3nc(-c4cc(F)cc(F)c4)c(=O)n(CCC#N)c3n2)cc1
4.4,O=C(O)c1cc([N+](=O)[O-])ccc1NCCCc1ccccc1
5.6,c1ccc(CCNc2nnnn2-c2ccccc2)cc1
5.6,CCOC(=O)c1ccc(-c2ccc(CO)o2)cc1
6.1,Cc1cccc(CNc2ncncc2-c2cccnc2)c1
4.7,Cc1cccc(-c2nc(CN3CCCC(C(=O)NC4CCCCC4)C3)c(C)o2)c1
5.1,CCCOc1cccc(-c2cc(-c3nnc(S)n3CC)c3ccccc3n2)c1
4.5,CCCN(CCC)[C@@H]1CCc2c(OC)cccc2[C@@H]1C
5.4,CC(C)CCNc1ncnc2[nH]ncc12
4.6,C=CC(C)(C)c1[nH]c2ccccc2c1C1=C(O)C(O)=C(c2c[nH]c3c(CC=C(C)C)cccc23)C(=O)C1=O
6.1,Cc1ccccc1-c1ccc2ncnc(-n3ccnc3)c2c1
4.85,Cc1ccc(NC(=O)c2sc3ncnc(O)c3c2C)c(C)c1
5.2,CCNc1ncc2nc(C)c(=O)n(CCOC)c2n1
4.9,CCOc1ccc(Cl)cc1CNCCNCC(C)O.Cl
5.9,COc1ccc2oc(C(=O)c3ccccc3)c(N)c2c1
6.3,CN(C)c1ccc(-c2ccc3ncnc(NCc4ccccc4)c3c2)cc1
6.6,O=C(O)c1nn(-c2ccc(Cl)cc2)c2c1C(=O)c1ccccc1C2=O
4.55,O=[N+]([O-])c1ccc(N2CCCCCC2)c(S(=O)(=O)N2CCCCC2)c1
4.65,CCOc1ccc(NC2=NCC(=O)N2Cc2cccs2)cc1.Cl
5.05,O=C1/C(=C\c2ccccn2)SC(=S)N1Nc1ncc(C(F)(F)F)cc1Cl
4.6,COCCSc1nnc(NC(=O)C(C)(C)C)s1
